batch_id,reactor,shift,temperature,pressure,feed_rate,conversion,yield,impurity
B0001,R3,night,436.6,1.89,145.0,0.775,0.65,0.089
B0002,R2,night,431.7,1.92,128.6,0.816,0.88,0.073
B0003,R2,night,375.8,3.69,58.9,0.846,0.793,0.087
B0004,R3,day,367.1,1.08,91.8,0.796,0.739,0.075
B0005,R3,night,416.9,1.42,137.9,0.603,0.562,0.15
B0006,R2,night,442.9,4.2,144.5,0.714,0.562,0.125
B0007,R3,day,405.7,1.71,96.7,0.781,0.523,0.098
B0008,R1,night,407.2,3.61,111.3,0.631,0.846,0.086
B0009,R1,day,378.0,1.95,66.7,0.723,0.74,0.069
B0010,R2,night,426.9,1.4,149.1,0.612,0.783,0.098
B0011,R2,day,368.7,1.97,73.2,0.628,0.508,0.147
B0012,R2,day,382.4,3.89,144.3,0.739,0.888,0.05
B0013,R1,night,392.5,4.42,115.0,0.646,0.833,0.094
B0014,R3,day,400.8,4.32,110.8,0.799,0.585,0.121
B0015,R1,day,374.2,2.59,101.3,0.841,0.573,0.131
B0016,R3,day,361.5,3.67,73.1,0.88,0.573,0.15
B0017,R1,day,411.1,1.82,67.7,0.67,0.622,0.102
B0018,R3,day,378.9,2.17,72.0,0.659,0.71,0.078
B0019,R1,day,408.1,4.59,68.6,0.637,0.673,0.081
B0020,R2,night,365.4,1.05,128.0,0.823,0.616,0.091
B0021,R1,day,398.1,1.34,85.0,0.847,0.745,0.087
B0022,R3,day,403.3,1.83,55.8,0.611,0.556,0.123
B0023,R1,night,355.2,1.11,146.9,0.928,0.617,0.113
B0024,R1,night,383.7,1.73,138.4,0.618,0.647,0.12
B0025,R1,night,363.4,3.33,142.8,0.789,0.682,0.098
B0026,R2,night,356.3,2.69,149.5,0.848,0.814,0.107
B0027,R1,night,449.0,4.57,67.4,0.905,0.58,0.108
B0028,R2,night,382.2,4.27,89.6,0.85,0.706,0.149
B0029,R2,night,431.0,2.37,125.8,0.881,0.737,0.102
B0030,R1,day,375.5,2.04,119.6,0.719,0.519,0.105
B0031,R1,day,418.2,2.52,65.4,0.885,0.743,0.067
B0032,R1,night,426.0,3.36,131.6,0.628,0.568,0.124
B0033,R3,day,409.6,2.07,72.4,0.913,0.526,0.117
